TransactionID,ProductID,ProductName,ProductCategory,WarehouseLocation,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
1,3104,Ski Tuning Bench - Portable,General,Main,Sale,2025-12-01 00:00:00,-7,187.79,-1314.53,SO-73465,Customer Sale,148,141,system,Transaction processed for Main location,system,2025-12-01 00:00:00
2,3021,Nordic Classic XC Skis - 185cm,General,Backup,Damage,2025-12-02 00:00:00,-8,114.78,-918.24,DMG-2,Warehouse Damage,49,41,system,Transaction processed for Backup location,system,2025-12-02 00:00:00
3,1551,BaseCamp Folding Table,General,Main,Sale,2025-12-10 00:00:00,-9,244.97,-2204.73,SO-77321,Customer Sale,83,74,system,Transaction processed for Main location,system,2025-12-10 00:00:00
4,2121,Bamboo Cutting Board Set,General,Main,Receipt,2025-12-06 00:00:00,82,117.11,9603.03,PO-5870,Purchase Order Receipt,568,650,warehouse1,Transaction processed for Main location,system,2025-12-06 00:00:00
5,1512,SkyView 2-Person Tent,General,Main,Sale,2025-12-01 00:00:00,-5,22.67,-113.35,SO-27934,Customer Sale,39,34,warehouse1,Transaction processed for Main location,system,2025-12-01 00:00:00
6,3062,Anti-Fog Ski Goggles,General,Backup,Sale,2026-01-26 00:00:00,-16,229.24,-3667.84,SO-58946,Customer Sale,42,26,warehouse1,Transaction processed for Backup location,system,2026-01-26 00:00:00
7,1541,TrekReady Hiking Boots,General,Main,Transfer,2026-02-02 00:00:00,-33,80.77,-2665.41,TRF-9312,Warehouse Transfer,291,258,system,Transaction processed for Main location,system,2026-02-02 00:00:00
8,3103,Snowboard Bindings - Pro,General,Backup,Receipt,2026-01-25 00:00:00,24,98.68,2368.37,PO-2609,Purchase Order Receipt,41,65,warehouse2,Transaction processed for Backup location,system,2026-01-25 00:00:00
9,3102,Winter Hiking Boots - Waterproof,General,Regional,Sale,2025-12-10 00:00:00,-44,343.06,-15094.64,SO-94711,Customer Sale,50,6,system,Transaction processed for Regional location,system,2025-12-10 00:00:00
10,2011,Coffee Maker,General,Main,Receipt,2026-03-01 00:00:00,27,45.64,1232.4,PO-7552,Purchase Order Receipt,636,663,warehouse2,Transaction processed for Main location,system,2026-03-01 00:00:00
