PurchaseOrderID,PurchaseOrderNumber,SupplierID,SupplierName,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,TotalOrderValue,DeliveryLocation,OrderedBy,Priority,Notes,CreatedBy,CreatedDate
1,PO-2026-0001,2,Contoso Kitchen,2026-01-18,2026-01-27,2026-01-27,Delivered,0.0,Main Warehouse,buyer1,Low,Order for Kitchen products,system,2026-01-18 21:37:47
2,PO-2025-0002,3,Contoso Ski Equipment,2025-12-05,2025-12-20,2025-12-22,Delivered,0.0,Backup Warehouse,buyer2,Low,Order for Ski products,system,2025-12-05 21:37:47
3,PO-2025-0003,1,Contoso Camping Equipment,2025-12-30,2026-01-13,2026-01-14,Delivered,0.0,Regional DC,supply_manager,Low,Order for Camping products,system,2025-12-30 21:37:47
4,PO-2025-0004,1,Contoso Camping Equipment,2025-12-06,2025-12-20,2025-12-23,Delivered,0.0,Main Warehouse,buyer2,High,Order for Camping products,system,2025-12-06 21:37:47
5,PO-2025-0005,2,Contoso Kitchen,2025-12-29,2026-01-09,2026-01-11,Delivered,0.0,Regional DC,supply_manager,Medium,Order for Kitchen products,system,2025-12-29 21:37:47
6,PO-2025-0006,2,Contoso Kitchen,2025-12-30,2026-01-09,2026-01-12,Delivered,0.0,Backup Warehouse,supply_manager,Low,Order for Kitchen products,system,2025-12-30 21:37:47
7,PO-2026-0007,2,Contoso Kitchen,2026-01-05,2026-01-15,2026-01-19,Delivered,0.0,Main Warehouse,supply_manager,Low,Order for Kitchen products,system,2026-01-05 21:37:47
8,PO-2026-0008,4,Worldwide Importers,2026-01-16,2026-02-14,2026-02-15,Delivered,8935.96,Main Warehouse,buyer2,Low,Multi-category order,system,2026-01-16 21:37:47
9,PO-2026-0009,4,Worldwide Importers,2026-02-08,2026-03-11,,Confirmed,19293.82,Main Warehouse,supply_manager,Medium,Multi-category order,system,2026-02-08 21:37:47
10,PO-2026-0010,2,Contoso Kitchen,2026-01-02,2026-01-12,2026-01-12,Delivered,0.0,Backup Warehouse,supply_manager,Low,Order for Kitchen products,system,2026-01-02 21:37:47
11,PO-2026-0011,1,Contoso Camping Equipment,2026-01-14,2026-01-26,2026-01-28,Delivered,0.0,Main Warehouse,buyer2,High,Order for Camping products,system,2026-01-14 21:37:47
12,PO-2026-0012,2,Contoso Kitchen,2026-02-17,2026-02-27,2026-02-27,Delivered,0.0,Backup Warehouse,buyer1,Low,Order for Kitchen products,system,2026-02-17 21:37:47
13,PO-2025-0013,4,Worldwide Importers,2025-12-22,2026-01-17,2026-01-17,Delivered,20049.19,Backup Warehouse,supply_manager,Low,Multi-category order,system,2025-12-22 21:37:47
14,PO-2025-0014,5,Fabrikam,2025-12-19,2026-01-09,2026-01-10,Delivered,0.0,Backup Warehouse,buyer1,Low,Order for Ski products,system,2025-12-19 21:37:47
15,PO-2026-0015,4,Worldwide Importers,2026-02-22,2026-03-23,,Confirmed,12576.6,Backup Warehouse,buyer2,High,Multi-category order,system,2026-02-22 21:37:47
16,PO-2026-0016,4,Worldwide Importers,2026-02-24,2026-03-23,,Sent,40186.43,Main Warehouse,buyer2,Low,Multi-category order,system,2026-02-24 21:37:47
17,PO-2025-0017,3,Contoso Ski Equipment,2025-12-29,2026-01-08,2026-01-16,Delivered,0.0,Main Warehouse,buyer2,Medium,Order for Ski products,system,2025-12-29 21:37:47
18,PO-2025-0018,1,Contoso Camping Equipment,2025-12-06,2025-12-23,2025-12-24,Delivered,0.0,Backup Warehouse,buyer2,Low,Order for Camping products,system,2025-12-06 21:37:47
19,PO-2025-0019,5,Fabrikam,2025-12-20,2026-01-10,2026-01-22,Delivered,0.0,Regional DC,supply_manager,Low,Order for Ski products,system,2025-12-20 21:37:47
20,PO-2025-0020,3,Contoso Ski Equipment,2025-12-08,2025-12-19,2025-12-27,Delivered,0.0,Main Warehouse,buyer2,Medium,Order for Ski products,system,2025-12-08 21:37:47
21,PO-2026-0021,5,Fabrikam,2026-01-19,2026-02-09,2026-02-09,Delivered,0.0,Main Warehouse,buyer2,Low,Order for Ski products,system,2026-01-19 21:37:47
22,PO-2026-0022,4,Worldwide Importers,2026-01-06,2026-02-08,2026-02-08,Delivered,94236.87,Regional DC,buyer1,Low,Multi-category order,system,2026-01-06 21:37:47
23,PO-2026-0023,1,Contoso Camping Equipment,2026-02-19,2026-03-08,,Confirmed,0.0,Main Warehouse,supply_manager,Low,Order for Camping products,system,2026-02-19 21:37:47
24,PO-2026-0024,4,Worldwide Importers,2026-02-07,2026-03-10,,Sent,48551.06,Main Warehouse,supply_manager,High,Multi-category order,system,2026-02-07 21:37:47
25,PO-2026-0025,4,Worldwide Importers,2026-01-22,2026-02-24,2026-02-26,Delivered,117335.34,Main Warehouse,buyer1,Low,Multi-category order,system,2026-01-22 21:37:47
26,PO-2026-0026,2,Contoso Kitchen,2026-01-28,2026-02-09,2026-02-09,Delivered,0.0,Main Warehouse,buyer2,Low,Order for Kitchen products,system,2026-01-28 21:37:47
27,PO-2026-0027,5,Fabrikam,2026-02-19,2026-03-17,,Confirmed,0.0,Backup Warehouse,supply_manager,Low,Order for Ski products,system,2026-02-19 21:37:47
28,PO-2026-0028,2,Contoso Kitchen,2026-02-17,2026-03-01,2026-03-01,Delivered,0.0,Regional DC,supply_manager,Low,Order for Kitchen products,system,2026-02-17 21:37:47
29,PO-2025-0029,5,Fabrikam,2025-12-27,2026-01-22,2026-01-24,Delivered,0.0,Backup Warehouse,buyer2,Low,Order for Ski products,system,2025-12-27 21:37:47
30,PO-2026-0030,5,Fabrikam,2026-01-15,2026-02-06,2026-02-06,Delivered,0.0,Regional DC,supply_manager,High,Order for Ski products,system,2026-01-15 21:37:47
31,PO-2026-0031,3,Contoso Ski Equipment,2026-01-17,2026-02-02,2026-02-05,Delivered,0.0,Backup Warehouse,buyer1,Low,Order for Ski products,system,2026-01-17 21:37:47
32,PO-2026-0032,3,Contoso Ski Equipment,2026-01-08,2026-01-22,2026-01-24,Delivered,0.0,Regional DC,buyer1,Low,Order for Ski products,system,2026-01-08 21:37:47
33,PO-2026-0033,1,Contoso Camping Equipment,2026-02-13,2026-03-01,2026-03-01,Delivered,0.0,Main Warehouse,buyer2,Low,Order for Camping products,system,2026-02-13 21:37:47
34,PO-2026-0034,3,Contoso Ski Equipment,2026-02-23,2026-03-05,,Confirmed,0.0,Regional DC,buyer2,Low,Order for Ski products,system,2026-02-23 21:37:47
35,PO-2025-0035,1,Contoso Camping Equipment,2025-12-30,2026-01-14,2026-01-14,Delivered,0.0,Main Warehouse,supply_manager,Low,Order for Camping products,system,2025-12-30 21:37:47
36,PO-2026-0036,3,Contoso Ski Equipment,2026-01-08,2026-01-21,2026-01-22,Delivered,0.0,Backup Warehouse,supply_manager,Low,Order for Ski products,system,2026-01-08 21:37:47
37,PO-2026-0037,3,Contoso Ski Equipment,2026-02-13,2026-03-01,2026-03-02,Delivered,0.0,Regional DC,buyer1,Low,Order for Ski products,system,2026-02-13 21:37:47
38,PO-2026-0038,1,Contoso Camping Equipment,2026-01-31,2026-02-17,2026-02-18,Delivered,0.0,Regional DC,supply_manager,Low,Order for Camping products,system,2026-01-31 21:37:47
39,PO-2026-0039,4,Worldwide Importers,2026-02-15,2026-03-19,,Sent,174.19,Main Warehouse,buyer2,Low,Multi-category order,system,2026-02-15 21:37:47
40,PO-2026-0040,5,Fabrikam,2026-01-15,2026-02-05,2026-02-05,Delivered,0.0,Main Warehouse,supply_manager,Medium,Order for Ski products,system,2026-01-15 21:37:47
41,PO-2025-0041,3,Contoso Ski Equipment,2025-12-24,2026-01-09,2026-01-12,Delivered,0.0,Main Warehouse,buyer1,Low,Order for Ski products,system,2025-12-24 21:37:47
42,PO-2025-0042,2,Contoso Kitchen,2025-12-31,2026-01-08,2026-01-08,Delivered,0.0,Main Warehouse,buyer1,Low,Order for Kitchen products,system,2025-12-31 21:37:47
43,PO-2025-0043,4,Worldwide Importers,2025-12-15,2026-01-12,2026-01-12,Delivered,40889.66,Regional DC,buyer1,High,Multi-category order,system,2025-12-15 21:37:47
44,PO-2026-0044,3,Contoso Ski Equipment,2026-01-09,2026-01-25,2026-01-26,Delivered,0.0,Main Warehouse,supply_manager,Low,Order for Ski products,system,2026-01-09 21:37:47
45,PO-2025-0045,2,Contoso Kitchen,2025-12-27,2026-01-05,2026-01-08,Delivered,0.0,Backup Warehouse,buyer2,High,Order for Kitchen products,system,2025-12-27 21:37:47
46,PO-2025-0046,5,Fabrikam,2025-12-03,2025-12-29,2025-12-30,Delivered,0.0,Regional DC,supply_manager,Low,Order for Ski products,system,2025-12-03 21:37:47
47,PO-2025-0047,4,Worldwide Importers,2025-12-17,2026-01-18,2026-01-20,Delivered,95794.29,Main Warehouse,buyer1,High,Multi-category order,system,2025-12-17 21:37:47
48,PO-2026-0048,2,Contoso Kitchen,2026-01-12,2026-01-27,2026-01-30,Delivered,0.0,Backup Warehouse,supply_manager,Medium,Order for Kitchen products,system,2026-01-12 21:37:47
49,PO-2026-0049,4,Worldwide Importers,2026-01-02,2026-01-31,2026-02-02,Delivered,19594.91,Regional DC,buyer1,Medium,Multi-category order,system,2026-01-02 21:37:47
50,PO-2026-0050,5,Fabrikam,2026-01-17,2026-02-08,2026-02-11,Delivered,0.0,Regional DC,supply_manager,Medium,Order for Ski products,system,2026-01-17 21:37:47
