PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,IsoCurrencyCode,CreatedBy
bdb6d4bd-b701-4e47-b13c-4883782b73b1,INV-af236b26-f62d-44e9-bcc9-087218792107,CID-001,2020-02-14,699.42,VISA,USD,SampleGen
ea33a19a-046c-4d96-ba05-1fe4edcf0e52,INV-78f19e7a-2d6e-4f4e-888e-fc2a0a757cc5,CID-001,2020-04-04,485.32,AmEx,USD,SampleGen
cb5d7b88-d9d2-47f8-a531-a68258798343,INV-1ec6d5fa-03c7-4f02-a82e-238cb5874d4d,CID-001,2020-06-25,445.08,VISA,USD,SampleGen
ab4991ec-562b-4aa2-887a-df8a8228bfb7,INV-a5c4c102-bf49-411f-86aa-c3ec6c10aebe,CID-001,2020-07-29,911.48,PayPal,USD,SampleGen
3218e82a-e7b5-4533-9b56-1bf3ebaf6357,INV-293a55b0-1dbd-494f-82a6-a0034efc3fad,CID-001,2020-09-09,2938.08,MC,USD,SampleGen
685a7412-58b4-412e-bc5c-ebae9fb4cc49,INV-d8d1183a-4598-4c5d-ab88-6aa1f92cc43f,CID-001,2020-11-27,2403.88,PayPal,USD,SampleGen
55cb86b4-02e2-4265-90ab-b23616939503,INV-d846959d-8e22-4f05-863f-eb0786e1d98e,CID-001,2020-12-30,476.86,MC,USD,SampleGen
058d9721-30cb-47e5-87f2-fb88913a50f9,INV-4cfe6fee-6e51-40e6-aa67-9ba20240be2b,CID-001,2021-04-23,445.08,VISA,USD,SampleGen
509f98b6-3387-42af-9b5f-881a840a2ed5,INV-b317c6e5-5e0e-440b-ab7c-bb419cefcf49,CID-001,2021-05-28,2815.14,VISA,USD,SampleGen
d5342230-f495-49f9-a5f5-39616c584ab7,INV-1d5392be-1b40-4923-806b-b2531e83e6e6,CID-001,2021-07-25,370.86,MC,USD,SampleGen
6337d6d6-0fef-4ba2-bf3b-7a44a2ee42d2,INV-3678b7af-46ac-406a-acee-101222d52669,CID-001,2021-08-16,1649.08,VISA,USD,SampleGen
dbc3a47b-e4b2-47d9-9a4c-01750df02268,INV-8bd2bcd8-cc07-43a6-8d4e-952049640652,CID-001,2021-09-17,1403.34,VISA,USD,SampleGen
62abb289-e64f-406e-a8a4-a41a0fab8c01,INV-f4fbd3ad-9236-4491-b847-479e481cbc44,CID-001,2021-12-11,3896.42,AmEx,USD,SampleGen
c711f1b3-b902-4dc6-af25-c1e42848e62e,INV-517bb80e-11c0-4a1a-a9fe-f02e55041c2d,CID-001,2022-10-31,2505.6,AmEx,USD,SampleGen
bfb434bb-afd8-42aa-b1b4-d88417c58725,INV-142ebb2e-f62e-42f9-8442-11803fcfc4d6,CID-001,2023-03-26,707.92,MC,USD,SampleGen
58ca6dd8-ac22-4720-a81b-53f7c90a3244,INV-10156ebc-664b-4edb-8475-670c08ce8e58,CID-001,2023-05-05,4383.96,MC,USD,SampleGen
