TransactionID,ProductID,ProductName,ProductCategory,WarehouseLocation,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
1,1562,PowerBurner Camping Stove,General,Regional,Sale,2025-05-15 00:00:00,-36,283.09,-10191.24,SO-26905,Customer Sale,28,-8,warehouse1,Transaction processed for Regional location,system,2025-05-15 00:00:00
2,1533,RainGuard Hiking Jacket,General,Backup,Damage,2026-02-16 00:00:00,-4,24.58,-98.32,DMG-2,Warehouse Damage,329,325,warehouse2,Transaction processed for Backup location,system,2026-02-16 00:00:00
3,3011,Alpine Pro Racing Skis - 170cm,General,Main,Sale,2025-08-08 00:00:00,-38,221.46,-8415.48,SO-99851,Customer Sale,12,-26,warehouse1,Transaction processed for Main location,system,2025-08-08 00:00:00
4,3051,Insulated Ski Jacket - Men's,General,Backup,Sale,2025-09-18 00:00:00,-41,306.66,-12573.06,SO-46217,Customer Sale,102,61,warehouse1,Transaction processed for Backup location,system,2025-09-18 00:00:00
5,3053,Waterproof Ski Pants,General,Backup,Sale,2025-11-13 00:00:00,-13,134.38,-1746.94,SO-12335,Customer Sale,103,90,system,Transaction processed for Backup location,system,2025-11-13 00:00:00
6,2091,Spatula,General,Main,Receipt,2025-03-02 00:00:00,162,234.06,37917.73,PO-2212,Purchase Order Receipt,77,239,warehouse1,Transaction processed for Main location,system,2025-03-02 00:00:00
7,2112,4-Slice Toaster,General,Main,Adjustment,2025-10-23 00:00:00,12,290.16,3481.92,ADJ-7,Cycle Count,930,942,system,Transaction processed for Main location,system,2025-10-23 00:00:00
8,1563,CompactCook Camping Stove,General,Backup,Sale,2025-01-02 00:00:00,-30,78.89,-2366.7,SO-94109,Customer Sale,214,184,system,Transaction processed for Backup location,system,2025-01-02 00:00:00
9,2031,Coffee Mug,General,Main,Sale,2025-01-21 00:00:00,-31,162.08,-5024.48,SO-35022,Customer Sale,1373,1342,warehouse1,Transaction processed for Main location,system,2025-01-21 00:00:00
10,3021,Nordic Classic XC Skis - 185cm,General,Main,Transfer,2025-01-21 00:00:00,-34,192.68,-6551.12,TRF-7589,Warehouse Transfer,108,74,warehouse2,Transaction processed for Main location,system,2025-01-21 00:00:00
11,3102,Winter Hiking Boots - Waterproof,General,Main,Sale,2025-06-26 00:00:00,-35,205.86,-7205.1,SO-46340,Customer Sale,130,95,warehouse2,Transaction processed for Main location,system,2025-06-26 00:00:00
12,3062,Anti-Fog Ski Goggles,General,Main,Transfer,2025-04-21 00:00:00,-19,122.24,-2322.56,TRF-1370,Warehouse Transfer,92,73,warehouse2,Transaction processed for Main location,system,2025-04-21 00:00:00
13,1562,PowerBurner Camping Stove,General,Regional,Sale,2025-11-21 00:00:00,-8,283.09,-2264.72,SO-21191,Customer Sale,15,7,system,Transaction processed for Regional location,system,2025-11-21 00:00:00
14,3082,Edge Tuning Tool Set,General,Main,Sale,2025-07-17 00:00:00,-40,130.95,-5238.0,SO-59153,Customer Sale,155,115,warehouse2,Transaction processed for Main location,system,2025-07-17 00:00:00
15,1542,TrailWalker Hiking Shoes,General,Backup,Transfer,2025-09-06 00:00:00,-44,231.16,-10171.04,TRF-4645,Warehouse Transfer,501,457,warehouse1,Transaction processed for Backup location,system,2025-09-06 00:00:00
16,3052,Thermal Base Layer Set - Women's,General,Backup,Damage,2025-08-26 00:00:00,-9,137.35,-1236.15,DMG-16,Warehouse Damage,37,28,warehouse1,Transaction processed for Backup location,system,2025-08-26 00:00:00
17,3104,Ski Tuning Bench - Portable,General,Backup,Sale,2025-04-21 00:00:00,-32,272.16,-8709.12,SO-91432,Customer Sale,81,49,warehouse1,Transaction processed for Backup location,system,2025-04-21 00:00:00
18,1542,TrailWalker Hiking Shoes,General,Backup,Sale,2025-06-15 00:00:00,-38,231.16,-8784.08,SO-24062,Customer Sale,482,444,warehouse1,Transaction processed for Backup location,system,2025-06-15 00:00:00
19,3062,Anti-Fog Ski Goggles,General,Backup,Receipt,2025-05-18 00:00:00,166,126.38,20979.27,PO-1455,Purchase Order Receipt,72,238,warehouse2,Transaction processed for Backup location,system,2025-05-18 00:00:00
20,3052,Thermal Base Layer Set - Women's,General,Main,Sale,2025-09-02 00:00:00,-39,137.35,-5356.65,SO-42516,Customer Sale,91,52,warehouse2,Transaction processed for Main location,system,2025-09-02 00:00:00
21,2121,Bamboo Cutting Board Set,General,Main,Sale,2025-10-23 00:00:00,-14,75.19,-1052.66,SO-55769,Customer Sale,207,193,warehouse2,Transaction processed for Main location,system,2025-10-23 00:00:00
22,2111,High-Speed Blender,General,Backup,Sale,2026-01-19 00:00:00,-36,55.39,-1994.04,SO-75650,Customer Sale,922,886,warehouse1,Transaction processed for Backup location,system,2026-01-19 00:00:00
23,3031,Pro Flex Racing Ski Boots,General,Main,Sale,2025-06-27 00:00:00,-20,94.73,-1894.6,SO-51335,Customer Sale,124,104,system,Transaction processed for Main location,system,2025-06-27 00:00:00
24,2022,Fork Set,General,Main,Return,2025-08-27 00:00:00,4,76.23,304.93,RET-83683,Customer Return,1445,1449,system,Transaction processed for Main location,system,2025-08-27 00:00:00
25,1541,TrekReady Hiking Boots,General,Backup,Return,2025-05-10 00:00:00,5,56.14,280.68,RET-90822,Customer Return,61,66,warehouse2,Transaction processed for Backup location,system,2025-05-10 00:00:00
26,1571,CozyNights Sleeping Bag,General,Main,Sale,2025-03-12 00:00:00,-32,277.24,-8871.68,SO-70282,Customer Sale,239,207,system,Transaction processed for Main location,system,2025-03-12 00:00:00
27,2051,Ice Cream Bowl,General,Main,Damage,2025-09-28 00:00:00,-2,345.04,-690.08,DMG-27,Warehouse Damage,89,87,warehouse1,Transaction processed for Main location,system,2025-09-28 00:00:00
28,3091,Freestyle Snowboard - 155cm,General,Main,Sale,2025-03-06 00:00:00,-29,49.71,-1441.59,SO-93885,Customer Sale,12,-17,warehouse2,Transaction processed for Main location,system,2025-03-06 00:00:00
29,3033,Women's Performance Ski Boots,General,Backup,Sale,2025-09-02 00:00:00,-41,281.91,-11558.31,SO-84189,Customer Sale,4,-37,warehouse2,Transaction processed for Backup location,system,2025-09-02 00:00:00
30,3102,Winter Hiking Boots - Waterproof,General,Main,Sale,2025-07-17 00:00:00,-8,205.86,-1646.88,SO-64550,Customer Sale,87,79,warehouse1,Transaction processed for Main location,system,2025-07-17 00:00:00
31,2081,Food Storage Set,General,Main,Sale,2026-02-11 00:00:00,-25,105.95,-2648.75,SO-10210,Customer Sale,138,113,warehouse2,Transaction processed for Main location,system,2026-02-11 00:00:00
32,2022,Fork Set,General,Main,Sale,2025-03-14 00:00:00,-5,95.29,-476.45,SO-15511,Customer Sale,1447,1442,warehouse2,Transaction processed for Main location,system,2025-03-14 00:00:00
33,1532,TrailBlaze Hiking Pants,General,Main,Transfer,2025-10-18 00:00:00,-14,100.6,-1408.4,TRF-2344,Warehouse Transfer,112,98,warehouse1,Transaction processed for Main location,system,2025-10-18 00:00:00
34,1531,Summit Breeze Jacket,General,Main,Sale,2025-03-26 00:00:00,-23,311.14,-7156.22,SO-41515,Customer Sale,1101,1078,warehouse1,Transaction processed for Main location,system,2025-03-26 00:00:00
35,1521,Adventurer Pro Backpack,General,Main,Sale,2026-01-25 00:00:00,-35,265.0,-9275.0,SO-57235,Customer Sale,522,487,warehouse2,Transaction processed for Main location,system,2026-01-25 00:00:00
36,2081,Food Storage Set,General,Main,Return,2025-07-13 00:00:00,2,84.76,169.52,RET-84311,Customer Return,174,176,warehouse1,Transaction processed for Main location,system,2025-07-13 00:00:00
37,2022,Fork Set,General,Main,Receipt,2026-02-22 00:00:00,66,95.88,6328.4,PO-8358,Purchase Order Receipt,1587,1653,warehouse1,Transaction processed for Main location,system,2026-02-22 00:00:00
38,1531,Summit Breeze Jacket,General,Main,Damage,2025-11-24 00:00:00,-8,311.14,-2489.12,DMG-38,Shipping Damage,961,953,warehouse2,Transaction processed for Main location,system,2025-11-24 00:00:00
39,3012,Mountain Master All-Terrain Skis - 165cm,General,Backup,Sale,2025-10-09 00:00:00,-49,165.61,-8114.89,SO-37920,Customer Sale,23,-26,warehouse1,Transaction processed for Backup location,system,2025-10-09 00:00:00
40,2041,Serving Platter,General,Main,Sale,2025-07-21 00:00:00,-20,264.6,-5292.0,SO-99333,Customer Sale,2428,2408,system,Transaction processed for Main location,system,2025-07-21 00:00:00
41,1533,RainGuard Hiking Jacket,General,Regional,Adjustment,2025-11-11 00:00:00,2,24.58,49.16,ADJ-41,Physical Count,698,700,system,Transaction processed for Regional location,system,2025-11-11 00:00:00
42,2061,Mixing Bowl,General,Main,Receipt,2025-03-15 00:00:00,79,170.76,13489.82,PO-5519,Purchase Order Receipt,1724,1803,warehouse2,Transaction processed for Main location,system,2025-03-15 00:00:00
43,3103,Snowboard Bindings - Pro,General,Backup,Sale,2025-03-14 00:00:00,-24,215.82,-5179.68,SO-57239,Customer Sale,4,-20,warehouse2,Transaction processed for Backup location,system,2025-03-14 00:00:00
44,1531,Summit Breeze Jacket,General,Main,Transfer,2025-10-10 00:00:00,-44,311.14,-13690.16,TRF-1586,Warehouse Transfer,1100,1056,system,Transaction processed for Main location,system,2025-10-10 00:00:00
45,3092,All-Mountain Snowboard - 158cm,General,Main,Sale,2025-10-13 00:00:00,-1,26.72,-26.72,SO-28631,Customer Sale,3,2,warehouse1,Transaction processed for Main location,system,2025-10-13 00:00:00
46,3103,Snowboard Bindings - Pro,General,Main,Sale,2025-11-30 00:00:00,-40,215.82,-8632.8,SO-71828,Customer Sale,101,61,warehouse1,Transaction processed for Main location,system,2025-11-30 00:00:00
47,3013,Beginner's Choice Alpine Skis - 160cm,General,Backup,Transfer,2026-02-20 00:00:00,-35,73.13,-2559.55,TRF-2087,Warehouse Transfer,46,11,system,Transaction processed for Backup location,system,2026-02-20 00:00:00
48,2022,Fork Set,General,Main,Sale,2025-04-08 00:00:00,-29,95.29,-2763.41,SO-11813,Customer Sale,1508,1479,warehouse1,Transaction processed for Main location,system,2025-04-08 00:00:00
49,3053,Waterproof Ski Pants,General,Main,Sale,2025-05-01 00:00:00,-31,134.38,-4165.78,SO-15903,Customer Sale,103,72,system,Transaction processed for Main location,system,2025-05-01 00:00:00
50,1532,TrailBlaze Hiking Pants,General,Main,Sale,2025-12-03 00:00:00,-28,100.6,-2816.8,SO-80815,Customer Sale,103,75,warehouse2,Transaction processed for Main location,system,2025-12-03 00:00:00
51,3053,Waterproof Ski Pants,General,Main,Sale,2025-01-02 00:00:00,-21,134.38,-2821.98,SO-83137,Customer Sale,146,125,warehouse2,Transaction processed for Main location,system,2025-01-02 00:00:00
52,3103,Snowboard Bindings - Pro,General,Backup,Sale,2025-05-24 00:00:00,-5,215.82,-1079.1,SO-27726,Customer Sale,57,52,warehouse2,Transaction processed for Backup location,system,2025-05-24 00:00:00
53,1572,MountainDream Sleeping Bag,General,Main,Sale,2025-03-19 00:00:00,-13,291.37,-3787.81,SO-63469,Customer Sale,391,378,warehouse2,Transaction processed for Main location,system,2025-03-19 00:00:00
