PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus,CreatedBy
PAY-3d54a90c-a072-48d3-8adf-41c10be811ed,INV-3d54a90c-a072-48d3-8adf-41c10be811ed,CID-001,2025-10-20,1196.23,MC,Completed,SampleGen
PAY-3e05c0a8-57b9-4e54-86e3-12ea088214fc,INV-3e05c0a8-57b9-4e54-86e3-12ea088214fc,CID-001,2026-01-02,2501.21,VISA,Completed,SampleGen
PAY-bdbc1398-a761-4987-ae81-c52c4d137f0e,INV-bdbc1398-a761-4987-ae81-c52c4d137f0e,CID-001,2025-11-22,1903.07,AmEx,Completed,SampleGen
PAY-c889bc03-1a0f-47b2-aaca-af60db7418cf,INV-c889bc03-1a0f-47b2-aaca-af60db7418cf,CID-001,2025-10-20,1489.8,MC,Completed,SampleGen
PAY-e3af02e2-3293-4206-a289-fd7482122541,INV-e3af02e2-3293-4206-a289-fd7482122541,CID-002,2026-01-17,869.98,VISA,Completed,SampleGen
PAY-ea5585fb-a4c2-4441-9713-b52c5e17f0f5,INV-ea5585fb-a4c2-4441-9713-b52c5e17f0f5,CID-003,2025-09-14,1245.13,MC,Completed,SampleGen
PAY-def55640-59c0-45e1-b041-ef91ed37c740,INV-def55640-59c0-45e1-b041-ef91ed37c740,CID-003,2025-01-14,2599.06,Discover,Completed,SampleGen
PAY-e77cca13-0c55-4d98-9ea7-2b694eb95f74,INV-e77cca13-0c55-4d98-9ea7-2b694eb95f74,CID-003,2025-11-29,2827.47,PayPal,Completed,SampleGen
PAY-67c101ba-7d09-4523-81d4-5cb3eaaeed7c,INV-67c101ba-7d09-4523-81d4-5cb3eaaeed7c,CID-003,2025-04-29,86.99,AmEx,Completed,SampleGen
PAY-a1e36f8b-233e-4b86-8c4e-0916108d8f6d,INV-a1e36f8b-233e-4b86-8c4e-0916108d8f6d,CID-004,2025-06-05,380.59,MC,Completed,SampleGen
PAY-9b717b6b-32f9-4154-8c80-e21548df182c,INV-9b717b6b-32f9-4154-8c80-e21548df182c,CID-004,2025-09-30,1359.35,MC,Completed,SampleGen
PAY-00de6f19-f18d-4739-aea1-4487485dcdad,INV-00de6f19-f18d-4739-aea1-4487485dcdad,CID-005,2025-02-05,978.74,MC,Completed,SampleGen
PAY-8a501eeb-acd2-495b-bba8-4e19c4967947,INV-8a501eeb-acd2-495b-bba8-4e19c4967947,CID-005,2025-11-28,3490.8,VISA,Completed,SampleGen
PAY-76ecd7ca-547d-4d84-9923-e73169f60528,INV-76ecd7ca-547d-4d84-9923-e73169f60528,CID-005,2025-02-02,3229.82,AmEx,Completed,SampleGen
PAY-cdc62e87-afaf-4a2c-a4ec-85963d372a77,INV-cdc62e87-afaf-4a2c-a4ec-85963d372a77,CID-006,2025-05-16,978.73,MC,Completed,SampleGen
PAY-5c5c1683-d099-4250-b1f2-7cb73c84ceac,INV-5c5c1683-d099-4250-b1f2-7cb73c84ceac,CID-006,2025-02-18,2990.59,PayPal,Completed,SampleGen
PAY-ad69ba16-b55c-45c2-befa-0abead746c85,INV-ad69ba16-b55c-45c2-befa-0abead746c85,CID-006,2025-06-05,2261.94,VISA,Completed,SampleGen
PAY-84660daa-a827-4a03-aa50-16a8cd00e170,INV-84660daa-a827-4a03-aa50-16a8cd00e170,CID-007,2025-10-08,1739.96,PayPal,Completed,SampleGen
PAY-b3565b44-aab9-4cfa-8185-8967d949c9de,INV-b3565b44-aab9-4cfa-8185-8967d949c9de,CID-008,2025-01-28,1261.48,PayPal,Completed,SampleGen
PAY-b430ab59-0566-48d7-a226-621197868257,INV-b430ab59-0566-48d7-a226-621197868257,CID-008,2025-01-17,3947.58,VISA,Completed,SampleGen
PAY-2a926747-4e5f-4b62-80b1-f8134809ffaa,INV-2a926747-4e5f-4b62-80b1-f8134809ffaa,CID-008,2025-07-03,1413.73,MC,Completed,SampleGen
PAY-1e14c387-2b7f-4ff3-b047-aff4e6b4472d,INV-1e14c387-2b7f-4ff3-b047-aff4e6b4472d,CID-008,2025-04-18,173.98,AmEx,Completed,SampleGen
