TransactionID,ProductID,ProductName,ProductCategory,WarehouseLocation,TransactionType,TransactionDate,Quantity,UnitCost,TotalValue,ReferenceNumber,ReasonCode,StockBefore,StockAfter,ProcessedBy,Notes,CreatedBy,CreatedDate
1,3061,Professional Ski Helmet,General,Main,Receipt,2025-06-03 00:00:00,185,27.9,5162.36,PO-7300,Purchase Order Receipt,131,316,warehouse1,Transaction processed for Main location,system,2025-06-03 00:00:00
2,3032,Comfort Fit Recreational Boots,General,Backup,Receipt,2025-06-30 00:00:00,169,44.87,7583.24,PO-9799,Purchase Order Receipt,8,177,warehouse1,Transaction processed for Backup location,system,2025-06-30 00:00:00
3,2112,4-Slice Toaster,General,Main,Sale,2025-10-13 00:00:00,-27,127.25,-3435.75,SO-76798,Customer Sale,33,6,system,Transaction processed for Main location,system,2025-10-13 00:00:00
4,1552,TrekMaster Camping Chair,General,Main,Sale,2025-03-07 00:00:00,-28,100.37,-2810.36,SO-77681,Customer Sale,101,73,warehouse1,Transaction processed for Main location,system,2025-03-07 00:00:00
5,3021,Nordic Classic XC Skis - 185cm,General,Main,Damage,2025-03-01 00:00:00,-7,304.47,-2131.29,DMG-5,Warehouse Damage,16,9,system,Transaction processed for Main location,system,2025-03-01 00:00:00
6,1531,Summit Breeze Jacket,General,Backup,Receipt,2025-10-21 00:00:00,11,248.18,2729.97,PO-8735,Purchase Order Receipt,122,133,warehouse2,Transaction processed for Backup location,system,2025-10-21 00:00:00
7,1542,TrailWalker Hiking Shoes,General,Main,Receipt,2025-02-16 00:00:00,126,131.29,16542.74,PO-8217,Purchase Order Receipt,5,131,warehouse2,Transaction processed for Main location,system,2025-02-16 00:00:00
8,3062,Anti-Fog Ski Goggles,General,Backup,Transfer,2025-02-20 00:00:00,-31,82.02,-2542.62,TRF-7088,Warehouse Transfer,27,-4,warehouse2,Transaction processed for Backup location,system,2025-02-20 00:00:00
9,1562,PowerBurner Camping Stove,General,Backup,Sale,2025-12-07 00:00:00,-14,157.91,-2210.74,SO-48493,Customer Sale,52,38,warehouse1,Transaction processed for Backup location,system,2025-12-07 00:00:00
10,1522,SummitClimber Backpack,General,Main,Receipt,2025-01-19 00:00:00,172,279.27,48034.92,PO-2212,Purchase Order Receipt,15,187,warehouse1,Transaction processed for Main location,system,2025-01-19 00:00:00
11,3032,Comfort Fit Recreational Boots,General,Main,Sale,2025-05-21 00:00:00,-47,46.69,-2194.43,SO-90081,Customer Sale,255,208,warehouse1,Transaction processed for Main location,system,2025-05-21 00:00:00
12,2081,Food Storage Set,General,Main,Sale,2025-09-16 00:00:00,-47,214.68,-10089.96,SO-96431,Customer Sale,192,145,warehouse2,Transaction processed for Main location,system,2025-09-16 00:00:00
13,3051,Insulated Ski Jacket - Men's,General,Main,Sale,2025-10-03 00:00:00,-31,309.4,-9591.4,SO-50833,Customer Sale,99,68,warehouse1,Transaction processed for Main location,system,2025-10-03 00:00:00
14,3041,Carbon Fiber Racing Poles - 120cm,General,Main,Sale,2025-03-09 00:00:00,-12,301.27,-3615.24,SO-44347,Customer Sale,26,14,warehouse2,Transaction processed for Main location,system,2025-03-09 00:00:00
15,3011,Alpine Pro Racing Skis - 170cm,General,Main,Sale,2025-07-16 00:00:00,-29,156.39,-4535.31,SO-94715,Customer Sale,7,-22,system,Transaction processed for Main location,system,2025-07-16 00:00:00
16,3032,Comfort Fit Recreational Boots,General,Backup,Sale,2025-11-09 00:00:00,-46,46.69,-2147.74,SO-61867,Customer Sale,117,71,system,Transaction processed for Backup location,system,2025-11-09 00:00:00
17,1543,TrekStar Hiking Sandals,General,Main,Sale,2025-08-10 00:00:00,-43,55.84,-2401.12,SO-68388,Customer Sale,24,-19,system,Transaction processed for Main location,system,2025-08-10 00:00:00
18,3104,Ski Tuning Bench - Portable,General,Main,Receipt,2025-08-27 00:00:00,193,76.5,14765.33,PO-1801,Purchase Order Receipt,214,407,warehouse1,Transaction processed for Main location,system,2025-08-27 00:00:00
19,3091,Freestyle Snowboard - 155cm,General,Main,Damage,2025-06-26 00:00:00,-8,318.81,-2550.48,DMG-19,Quality Issue,74,66,warehouse2,Transaction processed for Main location,system,2025-06-26 00:00:00
20,2041,Serving Platter,General,Main,Sale,2025-02-02 00:00:00,-2,70.01,-140.02,SO-53530,Customer Sale,217,215,system,Transaction processed for Main location,system,2025-02-02 00:00:00
21,3041,Carbon Fiber Racing Poles - 120cm,General,Main,Adjustment,2025-01-28 00:00:00,-19,301.27,-5724.13,ADJ-21,Cycle Count,79,60,warehouse1,Transaction processed for Main location,system,2025-01-28 00:00:00
22,2051,Ice Cream Bowl,General,Backup,Sale,2025-02-04 00:00:00,-3,58.36,-175.08,SO-72689,Customer Sale,1223,1220,system,Transaction processed for Backup location,system,2025-02-04 00:00:00
23,3051,Insulated Ski Jacket - Men's,General,Main,Return,2025-05-29 00:00:00,1,247.52,247.52,RET-53908,Customer Return,183,184,warehouse2,Transaction processed for Main location,system,2025-05-29 00:00:00
24,3061,Professional Ski Helmet,General,Main,Sale,2025-12-20 00:00:00,-4,27.9,-111.6,SO-63727,Customer Sale,81,77,system,Transaction processed for Main location,system,2025-12-20 00:00:00
25,1511,Alpine Explorer Tent,General,Main,Return,2025-09-20 00:00:00,1,195.43,195.43,RET-87987,Customer Return,69,70,system,Transaction processed for Main location,system,2025-09-20 00:00:00
26,2112,4-Slice Toaster,General,Main,Adjustment,2025-07-02 00:00:00,10,127.25,1272.5,ADJ-26,System Correction,164,174,system,Transaction processed for Main location,system,2025-07-02 00:00:00
