InventoryID,ProductID,ProductName,ProductCategory,WarehouseLocation,CurrentStock,ReservedStock,AvailableStock,SafetyStockLevel,ReorderPoint,MaxStockLevel,LastUpdated,AverageCost,Status,CreatedBy,CreatedDate
1,1521,Adventurer Pro Backpack,General,Backup,1,0,1,4,6,24,2026-03-01 08:27:15,325.49,LowStock,system,2026-01-25 21:27:15
2,1531,Summit Breeze Jacket,General,Backup,26,2,24,6,11,43,2026-02-28 22:27:15,252.22,Active,system,2025-11-24 21:27:15
3,1541,TrekReady Hiking Boots,General,Main,9,1,8,3,5,29,2026-03-02 13:27:15,162.88,Active,system,2025-11-18 21:27:15
4,1551,BaseCamp Folding Table,General,Main,12,1,11,1,1,12,2026-03-01 12:27:15,162.67,Excess,system,2025-10-23 21:27:15
5,1561,EcoFire Camping Stove,General,Backup,1,0,1,2,2,11,2026-03-01 04:27:15,224.86,LowStock,system,2025-09-20 21:27:15
6,1571,CozyNights Sleeping Bag,General,Backup,8,1,7,2,3,8,2026-03-02 17:27:15,177.23,Excess,system,2025-09-27 21:27:15
7,1511,Alpine Explorer Tent,General,Main,5,0,5,7,13,30,2026-03-01 12:27:15,244.29,LowStock,system,2025-11-14 21:27:15
8,1522,SummitClimber Backpack,General,Main,1,0,1,6,11,30,2026-03-01 19:27:15,275.29,LowStock,system,2026-01-15 21:27:15
9,1522,SummitClimber Backpack,General,Backup,0,0,0,6,11,30,2026-03-01 19:27:15,275.29,OutOfStock,system,2026-01-15 21:27:15
10,1532,TrailBlaze Hiking Pants,General,Main,17,3,14,5,7,21,2026-03-02 20:27:15,111.03,Active,system,2025-11-19 21:27:15
11,1542,TrailWalker Hiking Shoes,General,Main,11,3,8,5,7,18,2026-03-01 10:27:15,133.25,Active,system,2025-09-04 21:27:15
12,1552,TrekMaster Camping Chair,General,Main,2,0,2,3,4,21,2026-03-01 04:27:15,100.37,LowStock,system,2026-01-18 21:27:15
13,1562,PowerBurner Camping Stove,General,Main,10,1,9,2,3,10,2026-03-01 12:27:15,157.91,Excess,system,2026-01-16 21:27:15
14,1562,PowerBurner Camping Stove,General,Backup,4,0,4,2,3,10,2026-03-01 12:27:15,157.91,Active,system,2026-01-16 21:27:15
15,1572,MountainDream Sleeping Bag,General,Regional,2,0,2,2,2,10,2026-03-01 05:27:15,335.53,LowStock,system,2025-10-21 21:27:15
16,1512,SkyView 2-Person Tent,General,Main,50,7,43,6,9,51,2026-03-01 17:27:15,203.36,Active,system,2025-12-01 21:27:15
17,1512,SkyView 2-Person Tent,General,Backup,13,0,13,6,9,51,2026-03-01 17:27:15,203.36,Active,system,2025-12-01 21:27:15
18,1523,TrailLite Daypack,General,Backup,5,0,5,7,9,26,2026-03-02 10:27:15,104.41,LowStock,system,2026-01-01 21:27:15
19,1533,RainGuard Hiking Jacket,General,Backup,19,2,17,4,6,21,2026-03-02 09:27:15,285.41,Active,system,2025-09-18 21:27:15
20,1543,TrekStar Hiking Sandals,General,Main,14,3,11,3,4,21,2026-03-02 19:27:15,55.84,Active,system,2025-11-23 21:27:15
21,1543,TrekStar Hiking Sandals,General,Backup,5,0,5,3,4,21,2026-03-02 19:27:15,55.84,Active,system,2025-11-23 21:27:15
